2022-11-28 14:41:16,474 - DEBUG - time: 4.1, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,477 - DEBUG - time: 4.2, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,479 - DEBUG - time: 4.2, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,482 - DEBUG - time: 4.3, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,485 - DEBUG - time: 4.3, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,489 - DEBUG - time: 4.4, id: 2, waypoints: [(-394.9, -1.6), (-6.94, -1.6), (2.37, -1.6), (100.0, -1.6)]
2022-11-28 14:41:16,526 - DEBUG - time: 4.4, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,529 - DEBUG - time: 4.4, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,531 - DEBUG - time: 4.4, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,537 - DEBUG - time: 4.5, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,554 - DEBUG - time: 4.5, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,556 - DEBUG - time: 4.5, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,575 - DEBUG - time: 4.6, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,580 - DEBUG - time: 4.6, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,583 - DEBUG - time: 4.6, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,587 - DEBUG - time: 4.7, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,605 - DEBUG - time: 4.7, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,607 - DEBUG - time: 4.7, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,626 - DEBUG - time: 4.8, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,629 - DEBUG - time: 4.8, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,633 - DEBUG - time: 4.8, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,638 - DEBUG - time: 4.9, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,654 - DEBUG - time: 4.9, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,657 - DEBUG - time: 4.9, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,675 - DEBUG - time: 5.0, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,679 - DEBUG - time: 5.0, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,682 - DEBUG - time: 5.0, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,687 - DEBUG - time: 5.1, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,703 - DEBUG - time: 5.1, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,706 - DEBUG - time: 5.1, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,723 - DEBUG - time: 5.2, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,727 - DEBUG - time: 5.2, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,731 - DEBUG - time: 5.2, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,735 - DEBUG - time: 5.3, id: 0, waypoints: [(-381.95521146973465, -1.6), (-6.94, -1.6), (2.37, -1.6), (100.0, -1.6)]
2022-11-28 14:41:16,770 - DEBUG - time: 5.3, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,786 - DEBUG - time: 5.3, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,789 - DEBUG - time: 5.3, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,794 - DEBUG - time: 5.4, id: 3, waypoints: [(-334.79409414198886, -198.7941885426096), (-5.92, -5.34), (2.37, -1.6), (100.0, -1.6)]
2022-11-28 14:41:16,829 - DEBUG - time: 5.4, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,846 - DEBUG - time: 5.4, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,850 - DEBUG - time: 5.4, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,855 - DEBUG - time: 5.4, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,875 - DEBUG - time: 5.5, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,879 - DEBUG - time: 5.5, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,895 - DEBUG - time: 5.5, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,899 - DEBUG - time: 5.5, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,918 - DEBUG - time: 5.6, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,934 - DEBUG - time: 5.6, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,937 - DEBUG - time: 5.6, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,941 - DEBUG - time: 5.6, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,961 - DEBUG - time: 5.7, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,968 - DEBUG - time: 5.7, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,985 - DEBUG - time: 5.7, id: 2, could change: False, False, state: ([], []), ([], []), False, False
