x: 1.0, y: 0.0, v: 10.0, theta: 0.0
x: 20.9092937786638, y: 46.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 47.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 48.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 49.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 50.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 51.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 52.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 53.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 54.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 55.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 56.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 57.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 58.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 59.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 60.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 61.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 62.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 63.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 64.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 65.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 66.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 67.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 68.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 69.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 70.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 71.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 72.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 73.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 74.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 75.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 76.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 77.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 78.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 79.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 80.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 81.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 82.9205714636045, v: 10.0, theta: 90.00000000000001
[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 12.999799993333378, 13.998000173413793, 14.990805935007199, 15.970859259154988, 16.926151374582997, 17.839120260939477, 18.686097210989278, 19.43733186156532, 20.05788123894411, 20.509673900158315, 20.79398344098729, 20.92157862274602, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638, 20.9092937786638]
[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019999333253328835, 0.07996932981348884, 0.19970537178472242, 0.39844007390507963, 0.6941036905390507, 1.1021328715359557, 1.633762485162153, 2.293797711323526, 3.077965085188822, 3.9700880538837127, 4.928820594790517, 5.92064692514879, 6.920571463604506, 7.920571463604506, 8.920571463604507, 9.920571463604507, 10.920571463604507, 11.920571463604507, 12.920571463604507, 13.920571463604507, 14.920571463604507, 15.920571463604507, 16.920571463604507, 17.920571463604507, 18.920571463604507, 19.920571463604507, 20.920571463604507]
[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6, 0.7, 0.7999999999999999, 0.8999999999999999, 0.9999999999999999, 1.0999999999999999, 1.2, 1.3, 1.4000000000000001, 1.5000000000000002, 1.6000000000000003, 1.7000000000000004, 1.8000000000000005, 1.9000000000000006, 2.0000000000000004, 2.1000000000000005, 2.2000000000000006, 2.3000000000000007, 2.400000000000001, 2.500000000000001, 2.600000000000001, 2.700000000000001, 2.800000000000001, 2.9000000000000012, 3.0000000000000013, 3.1000000000000014, 3.2000000000000015, 3.3000000000000016, 3.4000000000000017, 3.5000000000000018, 3.600000000000002, 3.700000000000002, 3.800000000000002, 3.900000000000002]
----- t -----
[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6, 0.7, 0.7999999999999999, 0.8999999999999999, 0.9999999999999999, 1.0999999999999999, 1.2, 1.3, 1.4000000000000001, 1.5000000000000002, 1.6000000000000003, 1.7000000000000004, 1.8000000000000005, 1.9000000000000006, 2.0000000000000004, 2.1000000000000005, 2.2000000000000006, 2.3000000000000007, 2.400000000000001, 2.500000000000001, 2.600000000000001, 2.700000000000001, 2.800000000000001, 2.9000000000000012, 3.0000000000000013, 3.1000000000000014, 3.2000000000000015, 3.3000000000000016, 3.4000000000000017, 3.5000000000000018, 3.600000000000002, 3.700000000000002, 3.800000000000002, 3.900000000000002]
----- x -----
